iter	Logloss
0	0.662534052
1	0.6340148321
2	0.6077359838
3	0.5835123925
4	0.5609762365
5	0.540110742
6	0.5207162079
7	0.5028192871
8	0.4850724498
9	0.4696814955
10	0.4556717055
11	0.4424890958
12	0.4302224363
13	0.4188821697
14	0.4083049558
15	0.3985691303
16	0.3897935289
17	0.3814021079
18	0.3737868739
19	0.3667059621
20	0.3602033406
21	0.3528892211
22	0.3473725259
23	0.3421558839
24	0.3373704718
25	0.3329635977
26	0.328492196
27	0.3237066385
28	0.319955409
29	0.3153113047
30	0.310775502
31	0.3077932634
32	0.3035830634
33	0.3002303954
34	0.2964187619
35	0.2931635923
36	0.2908290897
37	0.2887982756
38	0.2859806961
39	0.28339973
40	0.2808392987
41	0.2795857705
42	0.2774161805
43	0.2754096527
44	0.2737045354
45	0.2719557533
46	0.2706202453
47	0.2688293891
48	0.2675281793
49	0.2661208457
50	0.2649578413
51	0.2638155026
52	0.2627675637
53	0.2617020621
54	0.2604480845
55	0.2594652622
56	0.2582663015
57	0.2575317613
58	0.2567103268
59	0.2558071988
60	0.2549929988
61	0.2541280042
62	0.2532539105
63	0.2522612579
64	0.2518975919
65	0.2511445839
66	0.2505332981
67	0.2500574948
68	0.2496424263
69	0.2488261216
70	0.2483620365
71	0.2477441349
72	0.2472651895
73	0.2468602205
74	0.2463481025
75	0.2460409136
76	0.2456516735
77	0.2453788757
78	0.2449649758
79	0.24427241
80	0.2440305847
81	0.2437203512
82	0.2434439868
83	0.243130949
84	0.2428826285
85	0.242631217
86	0.2421976346
87	0.2419494538
88	0.2415376411
89	0.2411128553
90	0.2406355334
91	0.2402421837
92	0.2398845194
93	0.2396668642
94	0.2393728761
95	0.2389765594
96	0.238754593
97	0.2384769354
98	0.2381526638
99	0.237804445
100	0.237620066
101	0.2373292379
102	0.2370583751
103	0.2368349933
104	0.2365766697
105	0.2364240822
106	0.2358781662
107	0.2353308719
108	0.2350954749
109	0.2346666859
110	0.2342528122
111	0.2337687107
112	0.2334612696
113	0.2332347232
114	0.2329732705
115	0.2326486763
116	0.2324249833
117	0.2322111668
118	0.2319564198
119	0.2316899783
120	0.2315057658
121	0.2313672503
122	0.2311761327
123	0.2309142166
124	0.2307471987
125	0.2304816262
126	0.2301363239
127	0.2300510754
128	0.229855365
129	0.2297740276
130	0.2297345283
131	0.2295874779
132	0.2293774971
133	0.2292045939
134	0.2289983658
135	0.2288093425
136	0.2286618999
137	0.2285080684
138	0.2283072719
139	0.2282207266
140	0.2278153389
141	0.2276509686
142	0.2275094685
143	0.2272650337
144	0.2270890199
145	0.2269953272
146	0.2267602131
147	0.226567678
148	0.226503644
149	0.226323756
150	0.2262289714
151	0.2260281067
152	0.2259429284
153	0.2258043061
154	0.2256947881
155	0.225549498
156	0.2253430969
157	0.2248876526
158	0.2247738176
159	0.2245604957
160	0.224466727
161	0.2243742
162	0.2242409532
163	0.2240656376
164	0.2239687891
165	0.2238502207
166	0.2237072885
167	0.2235971758
168	0.2235082317
