iter	Passed	Remaining
0	21	21372
1	44	22149
2	71	23691
3	95	23819
4	119	23754
5	142	23616
6	166	23635
7	192	23824
8	216	23785
9	238	23651
10	265	23907
11	298	24555
12	330	25088
13	357	25204
14	385	25285
15	411	25320
16	439	25434
17	463	25309
18	489	25265
19	522	25608
20	545	25441
21	570	25355
22	593	25227
23	618	25143
24	642	25074
25	667	25021
26	692	24961
27	716	24886
28	744	24944
29	772	24962
30	798	24967
31	824	24954
32	854	25026
33	880	25013
34	902	24873
35	927	24827
36	953	24814
37	979	24799
38	1004	24745
39	1030	24728
40	1056	24714
41	1080	24654
42	1104	24583
43	1128	24528
44	1153	24482
45	1179	24455
46	1202	24384
47	1229	24379
48	1252	24315
49	1276	24248
50	1305	24286
51	1329	24244
52	1355	24213
53	1381	24202
54	1406	24158
55	1429	24094
56	1452	24036
57	1476	23975
58	1501	23949
59	1525	23901
60	1550	23869
61	1575	23831
62	1597	23765
63	1623	23736
64	1645	23672
65	1669	23630
66	1698	23649
67	1723	23621
68	1748	23589
69	1774	23571
70	1799	23543
71	1824	23512
72	1847	23455
73	1873	23441
74	1899	23423
75	1923	23383
76	1946	23333
77	1972	23321
78	1998	23300
79	2021	23252
80	2045	23204
81	2069	23163
82	2093	23128
83	2119	23109
84	2145	23094
85	2168	23051
86	2192	23004
87	2215	22964
88	2242	22951
89	2267	22923
90	2290	22877
91	2313	22837
92	2339	22817
93	2364	22787
94	2388	22755
95	2415	22744
96	2447	22788
97	2482	22845
98	2510	22844
99	2539	22853
100	2565	22831
101	2597	22869
102	2626	22872
103	2654	22870
104	2677	22824
105	2701	22783
106	2725	22745
107	2752	22730
108	2775	22689
109	2803	22684
110	2829	22660
111	2852	22617
112	2877	22587
113	2901	22551
114	2925	22515
115	2949	22480
116	2975	22459
117	3001	22437
118	3025	22398
119	3048	22353
120	3070	22309
121	3096	22285
122	3120	22252
123	3144	22212
124	3167	22175
125	3189	22123
126	3217	22119
127	3241	22085
128	3266	22056
129	3289	22011
130	3313	21978
131	3338	21954
132	3363	21926
133	3389	21904
134	3415	21885
135	3441	21860
136	3469	21853
137	3494	21828
138	3520	21807
139	3545	21780
140	3575	21782
141	3605	21783
142	3632	21770
143	3659	21753
144	3688	21750
145	3711	21710
146	3738	21692
147	3763	21665
148	3793	21666
149	3817	21631
150	3843	21611
151	3866	21572
152	3891	21544
153	3914	21506
154	3938	21471
155	3965	21452
156	3990	21428
157	4015	21398
158	4040	21369
159	4068	21358
160	4095	21341
161	4118	21304
162	4142	21269
163	4165	21234
164	4191	21211
165	4219	21196
166	4243	21167
167	4268	21138
168	4291	21100
169	4322	21102
170	4346	21073
171	4372	21048
172	4395	21010
173	4416	20967
174	4443	20946
175	4469	20923
176	4494	20897
177	4516	20856
178	4541	20829
179	4567	20807
180	4594	20791
181	4619	20762
182	4643	20732
183	4679	20752
184	4710	20750
185	4739	20741
186	4764	20715
187	4800	20735
188	4828	20719
189	4854	20696
190	4879	20667
191	4903	20634
192	4927	20603
193	4951	20571
194	4975	20541
195	5000	20513
196	5023	20475
197	5051	20460
198	5073	20422
199	5098	20392
200	5122	20362
201	5144	20322
202	5171	20303
203	5197	20281
204	5222	20254
205	5245	20218
206	5270	20190
207	5295	20165
208	5321	20139
209	5345	20109
210	5369	20076
211	5394	20049
212	5417	20017
213	5442	19989
214	5465	19954
215	5488	19922
216	5522	19926
217	5547	19898
218	5570	19866
219	5593	19832
220	5617	19800
221	5649	19799
222	5677	19783
223	5700	19749
224	5725	19721
225	5753	19704
226	5781	19688
227	5808	19665
228	5833	19638
229	5856	19607
230	5878	19570
231	5902	19538
232	5927	19512
233	5951	19480
234	5975	19452
235	5999	19421
236	6022	19388
237	6047	19362
238	6073	19337
239	6099	19315
240	6125	19292
241	6153	19272
242	6177	19245
243	6200	19212
244	6224	19180
245	6247	19148
246	6273	19126
247	6297	19094
248	6320	19064
249	6343	19031
250	6369	19007
251	6394	18980
252	6417	18948
253	6442	18921
254	6467	18894
255	6489	18861
256	6515	18836
257	6539	18808
258	6563	18777
259	6589	18754
260	6615	18730
261	6638	18698
262	6661	18667
263	6688	18646
264	6713	18619
265	6737	18590
266	6767	18578
267	6791	18549
268	6817	18525
269	6847	18512
270	6875	18495
271	6906	18485
272	6936	18471
273	6963	18450
274	6992	18434
275	7016	18406
276	7044	18386
277	7070	18361
278	7101	18350
279	7128	18329
280	7152	18301
281	7187	18301
282	7216	18283
283	7244	18263
284	7268	18235
285	7294	18210
286	7318	18182
287	7345	18159
288	7371	18135
289	7398	18112
290	7423	18086
291	7449	18062
292	7475	18039
293	7505	18022
294	7532	18000
295	7560	17982
296	7590	17966
297	7619	17949
298	7643	17919
299	7670	17896
300	7698	17877
301	7724	17853
302	7754	17837
303	7782	17817
304	7804	17785
305	7829	17756
306	7855	17733
307	7881	17708
308	7906	17681
309	7934	17660
310	7961	17637
311	7986	17611
312	8010	17582
313	8034	17552
314	8058	17523
315	8085	17500
316	8113	17481
317	8138	17455
318	8164	17429
319	8189	17401
320	8213	17374
321	8239	17349
322	8265	17323
323	8293	17303
324	8318	17277
325	8344	17252
326	8369	17225
327	8392	17193
328	8416	17164
329	8443	17142
330	8469	17117
331	8495	17092
332	8519	17063
333	8545	17040
334	8572	17016
335	8597	16991
336	8630	16978
