iter	Passed	Remaining
0	78	78299
1	101	50520
2	127	42463
3	146	36373
4	170	33935
5	194	32224
6	214	30407
7	239	29642
8	255	28154
9	280	27720
10	305	27464
11	329	27108
12	355	27004
13	382	26915
14	407	26771
15	434	26695
16	459	26568
17	486	26542
18	514	26571
19	540	26488
20	565	26355
21	590	26256
22	615	26132
23	639	26023
24	666	26004
25	691	25902
26	717	25853
27	734	25491
28	759	25422
29	784	25351
30	809	25306
31	835	25279
32	861	25246
33	886	25194
34	909	25069
35	936	25075
36	962	25051
37	988	25014
38	1014	24993
39	1039	24942
40	1062	24863
41	1087	24804
42	1112	24768
43	1138	24734
44	1163	24691
45	1189	24670
46	1216	24657
47	1241	24620
48	1268	24611
49	1293	24577
50	1319	24557
51	1346	24549
52	1373	24548
53	1402	24564
54	1426	24509
55	1451	24460
56	1476	24422
57	1502	24405
58	1528	24374
59	1553	24333
60	1578	24295
61	1602	24245
62	1627	24200
63	1653	24184
64	1677	24125
65	1701	24085
66	1728	24072
67	1752	24023
68	1777	23976
69	1801	23930
70	1826	23899
71	1851	23862
72	1875	23819
73	1900	23783
74	1926	23755
75	1951	23723
76	1975	23677
77	2001	23660
78	2025	23616
79	2050	23581
80	2076	23560
81	2101	23524
82	2127	23502
83	2151	23461
84	2175	23418
85	2199	23370
86	2224	23345
87	2249	23313
88	2272	23261
89	2297	23232
90	2324	23222
91	2349	23191
92	2373	23151
93	2397	23111
94	2421	23064
95	2445	23026
96	2468	22980
97	2493	22947
98	2517	22908
99	2542	22879
100	2566	22848
101	2590	22810
102	2615	22780
103	2640	22747
104	2666	22728
105	2692	22706
106	2718	22685
107	2742	22652
108	2766	22618
109	2793	22599
110	2818	22571
111	2846	22570
112	2872	22549
113	2898	22524
114	2923	22497
115	2949	22477
116	2974	22447
117	2999	22423
118	3024	22393
119	3053	22393
120	3078	22364
121	3103	22333
122	3128	22309
123	3155	22288
124	3182	22276
125	3206	22243
126	3232	22223
127	3258	22197
128	3283	22170
129	3309	22148
130	3334	22122
131	3359	22093
132	3386	22077
133	3415	22070
134	3440	22044
135	3465	22013
136	3489	21981
137	3514	21954
138	3538	21919
139	3564	21893
140	3589	21866
141	3613	21833
142	3637	21799
143	3660	21758
144	3685	21734
145	3709	21698
146	3736	21681
147	3761	21655
148	3786	21628
149	3811	21595
150	3837	21579
151	3864	21558
