iter	RMSE
0	0.2833572821
1	0.2822772555
2	0.2812526552
3	0.2802796497
4	0.2793634218
5	0.2784983667
6	0.2776811876
7	0.2769015227
8	0.2761547003
9	0.2754540206
10	0.2747886219
11	0.2741489191
12	0.2735382822
13	0.2729681092
14	0.2724313036
15	0.2719220092
16	0.2714333552
17	0.2709781282
18	0.2705352399
19	0.270120229
20	0.2697251405
21	0.2693392615
22	0.2689829255
23	0.2686511273
24	0.268320902
25	0.2680199737
26	0.2677220746
27	0.2674456019
28	0.2671817118
29	0.2669295123
30	0.2666895831
31	0.2664576136
32	0.2662369813
33	0.2660200615
34	0.265823856
35	0.2656281832
36	0.265448025
37	0.2652734307
38	0.2651087832
39	0.2649514399
40	0.2647990933
41	0.2646493153
42	0.2645101445
43	0.264375472
44	0.2642478855
45	0.2641233896
46	0.2640099556
47	0.2638980918
48	0.2637842347
49	0.2636784322
50	0.2635799022
51	0.2634816797
52	0.2633821031
53	0.2632986845
54	0.2632117736
55	0.2631266549
56	0.2630494167
57	0.2629653573
58	0.2628856808
59	0.2628133343
60	0.2627347254
61	0.262667332
62	0.2626003739
63	0.262530569
64	0.2624636925
65	0.2623991376
66	0.2623361612
67	0.2622810513
68	0.2622221028
69	0.2621681223
70	0.2621174604
71	0.2620611872
72	0.2620069525
73	0.2619618412
74	0.2619098377
75	0.2618658762
76	0.2618214338
77	0.2617690716
78	0.2617247766
79	0.2616830914
80	0.2616383233
81	0.2615975191
82	0.26155388
83	0.2615101255
84	0.261465868
85	0.2614236751
86	0.2613833473
87	0.261342156
88	0.2613021443
89	0.2612616376
90	0.2612280163
91	0.261196202
92	0.2611591795
93	0.2611221566
94	0.2610839699
95	0.2610499402
96	0.2610153552
97	0.2609831027
98	0.2609503083
99	0.260921239
100	0.2608852398
101	0.2608572004
102	0.2608319661
103	0.2607981422
104	0.2607661779
105	0.2607290457
106	0.260697811
107	0.2606665933
108	0.2606345479
109	0.2606031528
110	0.2605735387
111	0.2605461155
112	0.2605165419
113	0.2604895726
114	0.2604592783
115	0.2604267417
116	0.2603954791
