iter	Passed	Remaining
0	760	759922
1	1459	728466
2	2198	730778
3	2824	703205
4	3522	701023
5	4268	707110
6	4955	703004
7	5653	701051
8	6396	704327
9	7105	703428
10	7810	702276
11	8606	708589
12	9316	707321
13	9976	702601
14	10633	698253
15	11287	694172
16	12029	695595
17	12733	694700
18	13477	695880
19	14224	696984
20	14947	696840
21	15680	697077
22	16443	698473
23	17182	698757
24	17805	694430
25	18428	690360
26	19093	688087
27	19817	687936
28	20446	684589
29	21111	682605
30	21739	679521
31	22445	678987
32	23134	677922
33	23881	678520
34	24589	677959
35	25265	676560
36	25900	674122
37	26526	671527
38	27264	671837
39	28015	672366
40	28716	671688
41	29515	673231
42	30293	674209
43	31010	673773
44	31762	674067
45	32468	673360
46	33158	672338
47	33907	672489
48	34639	672286
49	35465	673845
50	36394	677229
51	37205	678280
52	37913	677443
53	38670	677442
54	39507	678806
55	40333	679908
56	41256	682542
57	42137	684373
58	42943	684913
59	43654	683922
60	44413	683675
61	45188	683651
62	45892	682557
63	46749	683711
64	47591	684580
65	48348	684201
66	49044	682966
67	49761	682018
68	50616	682955
69	51306	681647
70	52064	681236
71	52891	681711
72	53572	680293
73	54295	679429
74	54985	678158
75	55775	678110
76	56519	677495
77	57245	676667
78	58081	677132
79	58851	676796
80	59528	675390
81	60303	675102
82	61001	673953
83	61758	673466
84	62417	671908
85	63184	671513
86	63911	670708
87	64596	669452
88	65346	668883
89	66091	668262
90	66781	667083
91	67444	665648
92	68259	665717
93	69096	665972
94	69930	666182
95	70666	665440
96	71456	665206
97	72240	664909
98	72972	664125
99	73667	663007
100	74434	662540
101	75100	661178
102	75761	659786
103	76426	658440
104	77093	657132
105	77860	656672
106	78627	656205
107	79265	654676
108	80010	654034
109	80716	653071
110	81399	651926
111	82053	650570
112	82736	649447
113	83471	648733
114	84228	648189
115	84977	647589
