iter	AUC	Logloss
0	0.7253569823	0.681381381
1	0.7290198514	0.6699439445
2	0.7391916047	0.6587146981
3	0.7413678485	0.6477605802
4	0.7418156825	0.6371749023
5	0.7425495972	0.6268372685
6	0.74334207	0.616766261
7	0.7452280769	0.6068672467
8	0.7452714404	0.5974569938
9	0.745743265	0.5881583727
10	0.7456004797	0.5791806647
11	0.7456217901	0.5704130092
12	0.7474634735	0.5620617613
13	0.7481489889	0.5538549255
14	0.7485774705	0.5457513664
15	0.7490685463	0.5380137557
16	0.7493511809	0.5303003899
17	0.7495923171	0.522967716
18	0.7500247714	0.5157877319
19	0.7502062105	0.5089265943
20	0.7511886922	0.5023255149
21	0.7515147734	0.4956587181
22	0.752208199	0.4890788213
23	0.7524961136	0.482926236
24	0.7525994533	0.4770368172
25	0.7527109263	0.471060125
26	0.7528785093	0.4652967787
27	0.7536819225	0.4596087495
28	0.7540171763	0.4542765401
29	0.7544357967	0.449145453
30	0.7547956633	0.4441278984
31	0.7550468603	0.439233288
32	0.7554698797	0.4343472268
33	0.7556389808	0.4295937627
34	0.7557018887	0.4250991005
35	0.7559680834	0.4206094146
36	0.7561038367	0.4162561119
37	0.7561534548	0.41202623
38	0.7564860036	0.4080347962
39	0.7567072249	0.404099657
40	0.7568781929	0.4002902752
41	0.7570676762	0.396444825
42	0.7572455422	0.3928435608
43	0.7572922216	0.3893031629
44	0.757797568	0.3859167852
45	0.7578561282	0.3824961827
46	0.7583937429	0.3792151292
47	0.7584217244	0.3760038421
48	0.7586797024	0.3728424082
49	0.7588937699	0.3698916138
50	0.759510674	0.3668211963
51	0.7598007226	0.3640185844
52	0.7599549325	0.3613314252
53	0.760363326	0.3585866277
54	0.760723835	0.3559705744
55	0.7609614964	0.3533176528
56	0.7612041477	0.3508992329
57	0.7614906809	0.3484800284
58	0.7616886305	0.3462106699
59	0.7619128854	0.3439010417
60	0.762132887	0.3415512458
61	0.7623944424	0.339273404
62	0.7627056348	0.3370317476
63	0.7628014175	0.3348791644
64	0.7630063725	0.3328759934
65	0.7630478252	0.330780309
66	0.7633337515	0.3288806798
67	0.763557826	0.3268905216
68	0.7637189299	0.3250009542
69	0.7638638628	0.3231986085
70	0.7642307315	0.3213358159
71	0.7643400531	0.3195504232
72	0.7643863403	0.3179319692
73	0.7645543082	0.3163283847
74	0.7647051211	0.3146610345
75	0.7649406551	0.3130179584
76	0.765183401	0.311422917
77	0.765308621	0.3100282405
78	0.7653356107	0.3086075368
79	0.7654288786	0.3072840782
80	0.7656519547	0.3059120329
81	0.7657570616	0.3046363915
82	0.7660104648	0.3033723451
83	0.7661363509	0.3020346756
84	0.7662410922	0.3007042041
85	0.766281589	0.2995484695
86	0.76655431	0.2983273051
87	0.766672361	0.2972129986
88	0.7667558271	0.2960256825
89	0.7668603805	0.294942551
90	0.7669214096	0.2938494854
91	0.7670943477	0.2928620824
92	0.7675485478	0.2917377857
93	0.7677258571	0.290666941
94	0.7678916579	0.2895878893
95	0.7679901644	0.288584313
96	0.7681260582	0.2876497346
97	0.7682233474	0.28672821
98	0.7682390038	0.2858415498
99	0.7682231228	0.2849543093
100	0.7683745029	0.2840374677
101	0.7684928393	0.2832217416
102	0.7685739174	0.2823437218
103	0.7686629852	0.2815031331
104	0.7687188501	0.2807408521
105	0.7689097938	0.280000118
106	0.7690702383	0.2792048351
107	0.7691694019	0.2784534124
108	0.7692089528	0.2777856636
109	0.7693338919	0.277095324
110	0.769651755	0.276358808
111	0.7699259843	0.2756146958
112	0.7700808529	0.2749954778
113	0.7702251695	0.2744087371
114	0.7704042372	0.2737461128
115	0.7704813571	0.2731238145
116	0.7707540263	0.2724835079
117	0.7708177893	0.2719120765
118	0.771012297	0.2712945031
119	0.7711332789	0.2707727393
120	0.771117135	0.2702401765
121	0.7712132568	0.2697373125
122	0.7713148671	0.2692291557
123	0.7714480159	0.268673022
124	0.7715168124	0.2681565234
125	0.7716060207	0.2677030959
126	0.7716792062	0.2671727141
127	0.7717464525	0.2667501612
128	0.7717854701	0.2662967635
129	0.7719354985	0.2658026786
130	0.771974858	0.2653191859
131	0.7720280049	0.2649289433
132	0.7721661426	0.2644522625
133	0.7722295995	0.2640447736
134	0.772300944	0.2636742287
135	0.7723889407	0.2632312327
136	0.7724514697	0.2628047703
137	0.7725320164	0.2624247474
138	0.7726234706	0.2620158519
139	0.7726939995	0.261626687
140	0.7728352881	0.2612728988
141	0.7729560023	0.2609417167
142	0.7730365517	0.2605855645
143	0.7731387181	0.2602128796
144	0.7731755978	0.2598995363
145	0.7732652095	0.2595465561
146	0.7733037341	0.259220266
147	0.7734216995	0.2588858985
148	0.7735551626	0.2586027115
149	0.7736705491	0.2582768688
150	0.7737282425	0.2579468132
151	0.7738150087	0.2576792296
152	0.7739029752	0.2573858588
153	0.7740534632	0.2570704879
154	0.7740963216	0.2567761643
155	0.7741343302	0.2565241321
156	0.7742121766	0.2563054724
157	0.7742900955	0.2560180583
158	0.7743896379	0.2557359488
159	0.7744644628	0.2554862722
160	0.7746209237	0.2552412942
161	0.7746444442	0.255001868
162	0.7747028365	0.2547443487
163	0.7747946101	0.254535943
164	0.7748943135	0.2543163454
165	0.7749638512	0.2540690478
166	0.7750285092	0.2538201702
167	0.7751223461	0.2536149761
168	0.7753813626	0.2533555927
169	0.7754528598	0.2531578348
170	0.775550684	0.252956499
171	0.7756897564	0.2527181742
172	0.7757783694	0.2525126994
173	0.7759465486	0.2522889062
174	0.7760729298	0.2520810579
175	0.7761470145	0.2518990531
176	0.7761867055	0.2516961862
177	0.7762315617	0.2515018562
178	0.7763095231	0.2513012266
179	0.7763808658	0.2511254303
180	0.7764250456	0.2509580599
181	0.7764351304	0.2507859356
182	0.7764979469	0.2506394094
183	0.7765167652	0.2504880193
184	0.7765312193	0.2503341557
185	0.7766024028	0.2501736019
186	0.77670338	0.24999586
187	0.7768146897	0.2498263337
188	0.7768871135	0.2496510323
189	0.7769997821	0.249483832
190	0.7771055426	0.2493325539
191	0.7772047955	0.2491890778
192	0.777262458	0.2490603502
193	0.7773454787	0.2489028965
194	0.7773762846	0.2487692234
195	0.7774036672	0.2486286448
196	0.7775248529	0.2484594308
197	0.7776018115	0.2483199033
198	0.7776870933	0.2481895846
199	0.7777805009	0.2480619924
200	0.7778862779	0.2479266368
201	0.7779702074	0.2478025061
202	0.777999816	0.2476815082
203	0.778048479	0.2475509493
204	0.7780939242	0.2474271835
205	0.7782795212	0.2472781967
206	0.7783498373	0.2471459661
207	0.7783688086	0.2470236467
208	0.7784493686	0.2469022533
209	0.7785044752	0.2467765073
210	0.7785743209	0.2466847476
211	0.7785884481	0.2465998552
212	0.778663219	0.2465060922
213	0.778772308	0.2463912605
214	0.7788795936	0.2462653401
215	0.7789515867	0.2461767964
216	0.7790184877	0.2460683824
217	0.7790610884	0.2459833381
218	0.7791691943	0.2458679789
219	0.7792640595	0.2457714435
220	0.7792957495	0.2456682343
221	0.7793844678	0.2455785934
222	0.7794651287	0.2454911791
223	0.7795820563	0.2454041378
224	0.7796679947	0.2453114212
225	0.7797294911	0.2452361062
226	0.7797941638	0.245143918
227	0.7798558245	0.2450652851
228	0.7799177488	0.2449689236
229	0.7799620279	0.2448885942
230	0.7800640238	0.2447988429
231	0.7801098498	0.2447154954
232	0.7801827626	0.244619008
233	0.7803008992	0.2445198776
234	0.780365921	0.2444242177
235	0.7804060228	0.2443533987
236	0.7805546224	0.2442625094
237	0.7806170421	0.244166573
238	0.7806893957	0.2441017592
239	0.780755454	0.2440176365
240	0.7807853901	0.2439445983
241	0.7808713207	0.2438604375
242	0.780905217	0.24377981
243	0.7809472233	0.2437075086
244	0.7810586724	0.2436247348
245	0.781096024	0.2435648964
246	0.7811676402	0.2434857286
247	0.7812202313	0.2434213247
248	0.7813182523	0.2433429836
249	0.7813816327	0.2432792758
250	0.781461212	0.2432229399
251	0.7815369744	0.2431606116
252	0.781600905	0.2430890862
253	0.7816428744	0.2430218153
254	0.7817233075	0.2429523038
255	0.7817545156	0.2428963991
256	0.7817847966	0.2428364671
257	0.7818556589	0.2427784191
258	0.7819944338	0.2426949944
