iter	Passed	Remaining
0	1355	1354331
1	2643	1319279
2	3918	1302398
3	5122	1275590
4	6328	1259358
5	7543	1249654
6	8674	1230490
7	9912	1229146
8	11173	1230340
9	12412	1228813
10	13614	1224032
11	15098	1243138
12	16626	1262368
13	17967	1265416
14	19146	1257279
15	20428	1256340
16	21697	1254609
17	22995	1254513
18	24213	1250198
19	25459	1247500
20	26720	1245671
21	28017	1245506
22	29187	1239833
23	30460	1238722
24	31778	1239369
25	32928	1233546
26	34163	1231152
27	35347	1227061
28	36553	1223925
29	37960	1227377
30	39396	1231444
31	40696	1231083
32	42069	1232752
33	43306	1230417
34	44597	1229604
35	46112	1234801
36	47428	1234419
37	48825	1236052
38	50198	1236939
39	51423	1234161
40	52778	1234505
41	54018	1232133
42	55313	1231053
43	56654	1230955
44	58011	1231123
45	59438	1232704
46	60629	1229366
47	61969	1229068
48	63472	1231889
49	64747	1230208
50	66051	1229075
51	67249	1226018
52	68487	1223729
53	69775	1222364
54	71079	1221283
55	72413	1220691
56	73783	1220657
57	75129	1220201
58	76453	1219376
59	77812	1219064
60	79063	1217055
61	80178	1213023
62	81422	1211004
63	82685	1209272
64	84220	1211479
65	85489	1209810
66	86750	1208032
67	87954	1205500
68	89231	1203972
69	90501	1202370
70	91796	1201112
71	93026	1199004
72	94255	1196918
73	95529	1195403
74	96714	1192814
75	97880	1190017
76	99151	1188526
77	100503	1188008
78	101674	1185341
79	102937	1183779
80	104178	1181978
81	105506	1181157
82	106827	1180254
83	108074	1178529
84	109581	1179609
85	110962	1179298
86	112149	1176924
87	113417	1175419
88	114646	1173516
89	115917	1172057
90	117196	1170673
91	118485	1169404
92	119752	1167910
93	120964	1165887
94	122065	1162837
95	123232	1160436
96	124469	1158722
97	125711	1157060
98	127006	1155888
99	128236	1154125
100	129349	1151340
101	130611	1149895
102	131844	1148199
103	133149	1147132
104	134444	1145977
105	135711	1144587
106	137058	1143861
107	138346	1142639
108	139595	1141098
109	140850	1139610
