iter	Passed	Remaining
0	76	7546
1	94	4612
2	113	3682
3	138	3316
4	157	2987
5	182	2856
6	204	2713
7	228	2632
8	254	2575
9	274	2466
10	284	2298
11	305	2243
12	330	2213
13	355	2185
14	379	2152
15	401	2107
16	427	2085
17	452	2059
18	470	2005
19	493	1974
20	514	1934
21	535	1899
22	558	1870
23	573	1815
24	594	1784
25	618	1760
26	637	1723
27	660	1697
28	673	1648
29	696	1626
30	718	1598
31	739	1571
32	758	1539
33	778	1510
34	796	1479
35	819	1456
36	838	1428
37	860	1404
38	882	1380
39	904	1356
40	927	1334
41	946	1307
42	965	1279
43	983	1251
44	1002	1225
45	1027	1206
46	1051	1186
47	1072	1161
48	1095	1140
49	1115	1115
50	1136	1091
51	1157	1068
52	1180	1046
53	1204	1026
54	1225	1002
55	1245	978
56	1265	954
57	1287	932
58	1302	905
59	1324	882
60	1345	860
61	1370	839
62	1391	816
63	1414	795
64	1439	775
65	1464	754
66	1482	730
67	1504	708
68	1529	687
69	1549	664
70	1574	643
71	1595	620
72	1622	600
73	1646	578
74	1661	553
75	1681	531
76	1701	508
77	1720	485
78	1743	463
79	1762	440
80	1783	418
81	1802	395
82	1821	373
83	1844	351
84	1864	329
85	1886	307
86	1909	285
87	1928	262
88	1949	240
89	1968	218
90	1992	197
91	2014	175
92	2037	153
93	2058	131
94	2079	109
95	2102	87
96	2125	65
97	2144	43
98	2156	21
99	2176	0
